,sna,tot,sbi,sarea,mday,ar,bemp,act
994,YouBike2.0_市民大道八段532號,15,5,南港區,2023-05-27 15:13:15,市民大道八段532號北側,10,1
995,YouBike2.0_捷運南港軟體園區(2號出口),34,0,南港區,2023-05-27 15:19:04,經貿二路183號(2號出口),34,1
996,YouBike2.0_南港國小,30,5,南港區,2023-05-27 15:11:16,惠民街67號東南側,25,1
997,YouBike2.0_興中立體停車場(興中路),26,0,南港區,2023-05-27 14:54:04,興中路44巷1號東側,26,1
999,YouBike2.0_東陽公園,30,5,南港區,2023-05-27 15:19:14,重陽路125巷34號東側,25,1
1000,YouBike2.0_向陽南港路口,21,1,南港區,2023-05-27 15:15:15,向陽路49號北側,19,1
1004,YouBike2.0_東新國小,22,1,南港區,2023-05-27 15:18:15,東明街68號北側,20,1
1005,YouBike2.0_中華科技大學,20,2,南港區,2023-05-27 15:10:22,研究院路三段246號東側,18,1
1006,YouBike2.0_六福公園,19,2,南港區,2023-05-27 15:16:16,研究院路二段35巷23弄25號北側,17,1
1007,YouBike2.0_南港加壓站,24,2,南港區,2023-05-27 15:09:15,研究院路二段3巷1號西側,22,1
1008,YouBike2.0_臺北流行音樂中心(南港路),21,5,南港區,2023-05-27 15:05:16,南港路二段200-1號南側,16,1
1009,YouBike2.0_興南公園,26,4,南港區,2023-05-27 15:18:15,重陽路269號南側,22,1
1012,YouBike2.0_忠孝東路七段527巷口,15,4,南港區,2023-05-27 15:04:19,忠孝東路七段552號,11,1
1015,YouBike2.0_凌雲五村(研究院路三段8巷),26,1,南港區,2023-05-27 14:59:19,研究院路三段10巷1號東側,25,1
1016,YouBike2.0_新新公園(昆陽街60巷),20,0,南港區,2023-05-27 15:03:04,南港路三段47巷8號南側,20,1
1017,YouBike2.0_南港高中(昆陽街),14,4,南港區,2023-05-27 14:45:16,昆陽街58號東側,9,1
1018,YouBike2.0_南港路三段290巷口,20,4,南港區,2023-05-27 14:52:16,南港路三段314巷20號,16,1
1019,YouBike2.0_南港路三段220巷口,25,3,南港區,2023-05-27 15:10:22,南港路三段133號,21,1
1022,YouBike2.0_捷運後山埤站(3號出口),12,0,南港區,2023-05-15 07:23:15,玉成街150號,12,0
